firm,cost,output,lprice,lshare,cprice,cshare,fprice,fshare,capital,labor,fuel
28,6.6220999,1500,7588.7002,0.1221,82.839996,0.3186,21.3951,0.55930001,0.0254684,0.000106548,0.173143
29,9.7842999,1627,8355.75,0.1494,76.139999,0.236,31.3374,0.6146,0.030327,0.000174942,0.191893
30,8.6851997,1627,7912.3999,0.1105,79.220001,0.2071,31.680099,0.68239999,0.022705199,0.000121292,0.18708199
31,10.3136,1886,6833.9302,0.082599998,67.68,0.40700001,25.6,0.5104,0.062021799,0.000124658,0.20562699
32,14.271,1901,9822.6396,0.21439999,69.411003,0.1596,36,0.62599999,0.032814,0.000311495,0.24815699
33,11.1091,1961,6964.8101,0.13169999,82.485001,0.31760001,28.263399,0.55070001,0.042774402,0.000210066,0.216456
34,14.0431,2001,8611.5303,0.071400002,74.025002,0.1618,30.6446,0.76679999,0.030694701,0.000116434,0.35139099
35,18.896299,2020,10806.2,0.1797,79.57,0.1594,46.900002,0.6609,0.037854299,0.000314233,0.26628101
36,9.4673996,2233,6717.1802,0.095899999,59.957001,0.303,22.6933,0.60110003,0.047844701,0.000135164,0.250772
37,11.2419,2258,6892.6099,0.099699996,81.096001,0.2309,29.1,0.66939998,0.032008398,0.000162611,0.25860199
38,14.9529,2325,8568.2305,0.14659999,53.889999,0.1269,38.9161,0.72649997,0.035211001,0.00025584,0.27914599
39,13.627,2437,7846.0601,0.121,65.565002,0.25780001,30.6712,0.62120003,0.053580999,0.000210152,0.27599499
40,13.2679,2445,8764.75,0.13169999,76.139999,0.2411,28.364799,0.62720001,0.042013299,0.000199365,0.29333201
41,16.176399,2487,8088.4502,0.1371,66.622002,0.1973,32.618599,0.6656,0.047906201,0.000274192,0.33008799
42,10.9665,2506,7412.3599,0.1164,57.240002,0.21520001,27.4207,0.66839999,0.041229699,0.000172212,0.267317
43,13.8262,2582,8334.8896,0.1022,77.530998,0.22660001,34.181099,0.67119998,0.0404099,0.000169533,0.27149901
44,12.783,2632,8469.8398,0.079999998,70.294998,0.2604,30.971001,0.65960002,0.047353201,0.000120739,0.27224401
45,19.7092,2682,9484.8496,0.1087,81.75,0.19580001,50.451599,0.69550002,0.047205601,0.000225875,0.27170101
46,9.6429005,2689,6364.3999,0.082900003,78.440002,0.2105,23.488899,0.70660001,0.0258775,0.000125604,0.290122
47,17.289499,2763,8058.9102,0.096000001,80.660004,0.2023,45.663601,0.70169997,0.043363102,0.000205957,0.26572099
48,10.1902,2764,6338,0.16590001,66.232002,0.23119999,21.197001,0.60290003,0.035571501,0.000266733,0.28978899
49,16.170401,2863,7509.3701,0.17829999,81.550003,0.1992,30.2374,0.6225,0.039499,0.000383945,0.332901
50,7.5492001,2969,8183.3398,0.2397,80.656998,0.39719999,9,0.36309999,0.037176501,0.000221125,0.30456799
51,24.397499,3490,8477.2305,0.19149999,75.419998,0.23199999,38,0.5765,0.075049303,0.000551138,0.37013599
52,22.561199,3571,7297.71,0.1142,78.254997,0.1833,41.5951,0.70249999,0.0528461,0.000353054,0.38103601
53,21.558701,3886,9538.6797,0.1252,63.569,0.2033,30.8894,0.67150003,0.068946898,0.000282969,0.46866101
54,20.8671,3965,8403.5898,0.1162,74.480003,0.21510001,33.1992,0.66869998,0.060264699,0.000288538,0.420306
55,21.545401,3981,8186.0498,0.1052,75.082001,0.2299,35.204899,0.6649,0.065971702,0.000276883,0.40698001
56,17.4802,4148,7536.8901,0.1176,74.025002,0.2035,24.5837,0.6789,0.0480543,0.000272748,0.48273101
57,29.8011,4187,7996.4399,0.1052,74.120003,0.1824,47.425701,0.71240002,0.073336802,0.000392059,0.44771701
58,19.4391,4560,8558.3701,0.1531,76.463997,0.2577,23.7777,0.58920002,0.065513901,0.000347745,0.48177299
59,27.244301,4568,9619.7598,0.1692,76.139999,0.2316,35.664501,0.59920001,0.082870796,0.000479194,0.45773199
60,30.206699,5286,7084.1001,0.088399999,73.324997,0.1969,38.338402,0.71469998,0.081114203,0.000376939,0.56310999
61,29.487,5292,8176.3301,0.2233,76.139999,0.25319999,22.8374,0.52350003,0.098057598,0.000805306,0.67605698
62,24.2903,5316,9759.8301,0.1894,74.025002,0.17399999,27.837999,0.63660002,0.057095699,0.000471379,0.555471
63,30.8773,5643,10182.5,0.17219999,61.040001,0.22040001,27.8498,0.6074,0.11149,0.000522178,0.67342901
64,22.442101,5648,8954.1201,0.083400004,78.440002,0.2111,25.916,0.70550001,0.060396802,0.000209029,0.61093199
65,35.1091,5699,7988.48,0.1269,80.370003,0.214,42.635101,0.6591,0.093484499,0.000557721,0.54267299
66,25.4814,5702,6947.1099,0.1833,78.224998,0.25029999,24.2596,0.56639999,0.081533998,0.000672329,0.594926
67,33.973301,5708,10024.2,0.0986,78.101997,0.18260001,42.166,0.71880001,0.079428501,0.000334168,0.57914001
68,19.900801,5785,7969.5498,0.1093,71.910004,0.21799999,22.244801,0.67269999,0.0603306,0.000272934,0.601816
69,37.066601,6754,10177.9,0.207,77.196999,0.23630001,25.6208,0.55669999,0.113461,0.000753868,0.805255
70,35.5303,6770,7798.2598,0.1108,67.57,0.2814,29.825001,0.60780001,0.14796799,0.000504825,0.72406799
71,25.1686,6779,7826.9302,0.1427,74.199997,0.26620001,20.278999,0.59109998,0.090294898,0.000458872,0.48515201
72,24.356501,6793,6336.8799,0.1266,70.294998,0.32530001,18.5909,0.54809999,0.112713,0.000486601,0.71808201
73,33.017502,6837,7310.1499,0.1187,69.794998,0.25150001,28.4405,0.62980002,0.118976,0.000536128,0.73115498
74,40.528099,6891,6769.5498,0.089500003,74.120003,0.2393,35.965099,0.67119998,0.13084701,0.000535821,0.756244
75,42.2514,7320,5879.5098,0.086400002,92.063004,0.20640001,39.2104,0.70719999,0.094725199,0.000620889,0.76204801
76,33.881401,7382,7512.7202,0.1393,72.362,0.24680001,25.900101,0.61390001,0.115557,0.000628225,0.80320799
77,31.2922,7484,8063.73,0.17129999,67.68,0.25350001,23.526699,0.57520002,0.117207,0.000664749,0.76505703
78,27.0832,7896,7119.96,0.1196,74.513,0.2484,20.110001,0.63200003,0.0902858,0.000454939,0.85114801
79,32.584,7930,7119.0098,0.1209,48.997002,0.27720001,22.837999,0.60189998,0.18434399,0.000553364,0.85861498
80,42.411701,8650,7146.6699,0.1462,72.967003,0.23710001,27.869301,0.61669999,0.137813,0.00086762,0.93849802
81,52.763401,9145,10373.5,0.2027,81.75,0.1997,35.8083,0.59759998,0.12889101,0.00103101,0.88056099
82,41.179798,9275,8657.5303,0.1047,76.139999,0.32870001,24.5804,0.56660002,0.177775,0.000498009,0.94923103
83,47.386398,9530,7624.5698,0.1266,83.879997,0.2106,31.5825,0.66280001,0.118974,0.000786814,0.99446499
84,30.167801,9602,7054.1802,0.092799999,59.977001,0.2164,20.201,0.69080001,0.108847,0.000396867,1.03163
85,28.7861,9660,6686.73,0.069700003,79.542,0.23909999,20.263,0.69120002,0.086529799,0.000300056,0.982077
86,57.7267,10004,6472.8599,0.1806,76.300003,0.2362,28.0959,0.58319998,0.178703,0.00161064,1.1982599
87,38.847198,10057,6035.9502,0.084399998,81.578003,0.21780001,25.823999,0.69779998,0.103716,0.000543196,1.0497
88,31.9884,10149,6437.9199,0.1169,73.139999,0.2367,18.5343,0.64639997,0.103523,0.000580847,1.11562
89,51.741501,10361,9578.6299,0.1913,68.015999,0.24070001,28.1423,0.56800002,0.183107,0.00103336,1.04431
90,55.176399,10855,8061.96,0.1192,71.489998,0.2362,31.760099,0.64459997,0.182301,0.00081581,1.11968
91,48.112499,11114,8413.8604,0.1301,69.974998,0.2969,22.5536,0.57300001,0.20413899,0.000743943,1.22235
92,76.2528,11667,10436.3,0.112,80.660004,0.1708,46.070099,0.71719998,0.161468,0.000818326,1.18707
93,66.103203,11837,8709.4297,0.1627,75.378998,0.2103,31.3321,0.62699997,0.184421,0.00123487,1.32261
94,68.480003,12542,8142.8398,0.1336,80.385002,0.1688,35.7882,0.69760001,0.143801,0.00112355,1.3348401
95,79.070503,12706,9282.5098,0.1108,70.852997,0.20110001,37.2477,0.68809998,0.22442301,0.000943819,1.46051
96,72.0355,12724,8037.8398,0.1259,74.025002,0.197,37.517399,0.6771,0.191705,0.00112832,1.30007
97,45.182701,12936,8320.0596,0.1027,65.760002,0.1992,22.033001,0.69809997,0.136867,0.00055772,1.4315799
98,41.9016,12954,6460.6401,0.086499996,62.330002,0.2194,21.754999,0.69410002,0.147493,0.000561011,1.33688
99,77.884903,13702,7113.79,0.1212,70.849998,0.2121,34.961601,0.66670001,0.23316,0.00132695,1.48523
100,97.385902,13846,7786.3701,0.1003,88.540001,0.2066,44.157101,0.69309998,0.22724099,0.00125447,1.52859
101,80.359299,16311,7282.6099,0.052700002,81.550003,0.1337,40.9692,0.8136,0.13174801,0.000581513,1.59584
102,79.620697,16508,9404.9697,0.15009999,78.043999,0.1556,42.208599,0.6943,0.15874401,0.00127072,1.3097
103,78.702797,17132,8160.7998,0.1604,78.899002,0.2552,25.5378,0.5844,0.254565,0.0015469,1.80101
104,90.716797,17280,9191.4697,0.091799997,72.967003,0.1795,36.881599,0.72869998,0.22316501,0.000906036,1.79237
105,58.115398,17875,6288.4102,0.065800004,73.394997,0.27810001,20.619101,0.65609998,0.220204,0.000608102,1.8492301
106,107.978,18455,6690.23,0.1513,76.300003,0.2101,32.965401,0.63859999,0.297328,0.00244192,2.0917201
107,134.228,19445,9829.3203,0.17560001,67.580002,0.18340001,38.8027,0.64099997,0.364272,0.00239798,2.21738
108,90.371803,21956,7954.4702,0.1169,83.337997,0.29840001,22.911501,0.58469999,0.323585,0.00132812,2.3062799
109,113.256,22522,9500.7803,0.1961,76.732002,0.2604,25.0289,0.54350001,0.38434699,0.00233764,2.4593301
110,111.886,23217,6873.73,0.084899999,83.879997,0.2007,33.394402,0.71439999,0.26771101,0.00138195,2.3935599
111,125.336,24001,8047.3501,0.099799998,74.372002,0.2457,33.093201,0.65450001,0.414067,0.00155436,2.47844
112,146.989,25147,9900.7598,0.085699998,75.724998,0.33340001,33.474201,0.58090001,0.64715898,0.00127232,2.5508001
113,183.23199,27118,9914.3604,0.12800001,78.480003,0.2265,41.757801,0.6455,0.528822,0.00236562,2.8324299
114,87.101501,27708,6378.23,0.106,63.599998,0.22570001,20.299999,0.66829997,0.30910099,0.00144754,2.86748
115,240.51401,29613,9312.9297,0.1561,81.75,0.2017,41.887199,0.64219999,0.59341401,0.0040314,3.68747
116,191.563,30958,9810.0996,0.1636,69.541,0.1524,36.307598,0.68400002,0.41981199,0.00319463,3.60885
117,168.37801,34212,5683.8301,0.065099999,80.385002,0.13609999,40.528599,0.79879999,0.285081,0.00192852,3.31865
118,169.235,38343,9117.1602,0.066299997,65.991997,0.2192,31.589701,0.71450001,0.56213498,0.00123068,3.82725
119,269.77301,46870,9761.3799,0.1594,69.541,0.2194,33.199902,0.62120003,0.85112602,0.0044053,5.0476899
120,282.24799,48240,9673.3799,0.14049999,70.769997,0.1612,36.509998,0.6983,0.642905,0.00409948,5.3983498
121,282.94,53760,9619.9004,0.16670001,73.459999,0.19769999,34.639999,0.63559997,0.76146603,0.00490297,5.1915898
122,240.48599,53918,6068.8701,0.096600004,78.379997,0.1846,31.1954,0.71880001,0.56638998,0.00382788,5.5412402
123,277.29599,72247,7419.9199,0.1081,56.300999,0.26069999,25.0914,0.63120002,1.2840101,0.0040399,6.9756799
